Tabela;Qtde arquivos;Arquivos
"financeiro_pagamentos_linhas";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"financeiro_provisoes";"1";"assets/js/financeiro.js"
"financeiro_saldos_dia";"1";"assets/js/financeiro.js"
"frota_solicitacoes";"1";"assets/js/modules/programacao.api.example.js"
"frotas_checklists";"1";"assets/js/dashboard.js"
"frotas_excesso_velocidade";"3";"assets/js/modules/frotas.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"frotas_fora_horario";"1";"assets/js/modules/frotas.js"
"frotas_manutencoes";"1";"assets/js/modules/dashboard-socio.js"
"frotas_motoristas";"3";"assets/js/modules/frotas-motoristas.js | assets/js/modules/frotas-termo-veiculos.js | assets/js/programacao-equipe.js"
"frotas_multas";"3";"assets/js/modules/frotas-multas-action-reconcile.js | assets/js/modules/frotas-multas-one-time-xlsx.js | assets/js/modules/frotas-multas.js"
"frotas_posicoes";"1";"assets/js/modules/frotas-roteirizacao.js"
"frotas_posicoes_historico";"4";"assets/js/mapa-operacional-auditoria.js | assets/js/mapa-operacional-corredor.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js"
"frotas_print_ocr_execucoes";"1";"assets/js/modules/frotas.js"
"frotas_rastreadores";"2";"assets/js/modules/frotas-rastreadores-bfleet-status.js | assets/js/modules/frotas-rastreadores.js"
"frotas_rastreadores_removidos";"2";"assets/js/modules/frotas-rastreadores-bfleet-status.js | assets/js/modules/frotas-rastreadores.js"
"frotas_rotas";"2";"assets/js/mapa-operacional.js | assets/js/modules/frotas-roteirizacao.js"
"frotas_rotas_paradas";"1";"assets/js/modules/frotas-roteirizacao.js"
"frotas_trocas_oleo";"1";"assets/js/modules/dashboard-socio.js"
"frotas_veiculos";"19";"assets/js/dashboard.js | assets/js/frotas-dashboard.js | assets/js/importarPatrimonios.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js | assets/js/modules/dashboard-socio.js | assets/js/modules/frotas-checklists.js | assets/js/modules/frotas-manutencao.js | assets/js/modules/frotas-rastreadores-bfleet-status.js | assets/js/modules/frotas-rastreadores.js | assets/js/modules/frotas-roteirizacao.js | assets/js/modules/frotas-troca-oleo.js | assets/js/modules/frotas-veiculos-ui.js | assets/js/modules/frotas-veiculos-xlsx.js | assets/js/modules/frotas-veiculos.js | assets/js/modules/frotas.js | assets/js/patrimoniosAgentSync.js | assets/js/programacao-despesas.js | assets/js/programacao.js"
"grm_adiantamentos_importacoes";"2";"assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro.js"
"grm_auditorias_importacoes";"1";"assets/js/admin-auditoria.js"
"grm_cargas_importacoes";"2";"assets/js/adm-logistica.js | assets/js/logistica-conferencia-ocr.js"
"grm_despesas_importacoes";"2";"assets/js/metasFechamentoValidacao.js | assets/js/modules/dre.js"
"grm_finalizacao_os_execucoes";"1";"assets/js/ti-agentes-finalizar-os.js"
"grm_finalizacao_os_resultados";"1";"assets/js/ti-agentes-finalizar-os.js"
"grm_mapa_embarque_importacoes";"1";"assets/js/adm-logistica.js"
"grm_nf_lancamentos";"2";"assets/js/holeritePagamentos.js | assets/js/modules/notas-fiscais/service.js"
"grm_nhe_importacoes";"1";"assets/js/adm-logistica.js"
"grm_notas_fiscais_importacoes";"1";"assets/js/financeiro.js"
"grm_patrimonios_importacoes";"1";"assets/js/patrimoniosAgentSync.js"
"grm_producao_diaria_importacoes";"1";"assets/js/producaoSnapshotAgentSync.js"
"grm_sync_agent_settings";"4";"assets/js/listaOsAgentSync.js | assets/js/producaoSnapshotAgentSync.js | assets/js/ti-agentes-filas-v2.js | assets/js/ti-agentes.js"
"grm_sync_jobs";"9";"assets/js/admin-configuracoes.js | assets/js/agentUpdateStatus.js | assets/js/btg-logistica-agentes-ui.js | assets/js/financeiro.js | assets/js/modules/ti.js | assets/js/programacao-equipe.js | assets/js/ti-agentes-filas-v2.js | assets/js/ti-agentes-finalizar-os.js | assets/js/ti-agentes.js"
"grm_sync_lanes";"1";"assets/js/ti-agentes-filas-v2.js"
"grm_sync_runtime_policy";"1";"assets/js/ti-agentes-filas-v2.js"
"historico_colaboradores";"5";"assets/js/envios.js | assets/js/importarColaboradores.js | assets/js/modules/dre.js | assets/js/modules/relatorios.js | assets/js/relatorios.js"
"hospedagem_alojamentos";"11";"assets/js/adm-hotel-alojamentos-pagamentos.js | assets/js/adm-hotel-alojamentos-v2.js | assets/js/adm-hotel-hospedados.js | assets/js/adm-hotel-separacao-modulos.js | assets/js/hospedagem.js | assets/js/hotel-relatorio-v2.js | assets/js/mapa-operacional-corredor.js | assets/js/mapa-operacional-programacao.js | assets/js/mapa-operacional.js | assets/js/programacao-despesas.js | assets/js/programacao.js"
"hospedagem_alteracoes";"1";"assets/js/adm-hotel.js"
"hospedagem_checkout_decisoes";"2";"assets/js/adm-hotel.js | assets/js/hospedagem.js"
