"Rota";"Página HTML";"Arquivo principal";"Arquivos complementares";"Hotfixes carregados";"Tabelas Supabase";"RPCs";"Buckets";"Integrações"
"epi-rh";"epi-rh.html";"assets/js/epiRh.js";"";"assets/js/epiRhPresetPatch.js";"colaboradores | compras_itens | compras_notificacoes_config | compras_solicitacoes";"";"";"Botconversa"
"equipe";"equipe.html";"assets/js/equipe.js";"";"";"programacao_inativacao_solicitacoes | rh_admissoes | rh_documentos_registro | rh_integracao";"";"";"OCR"
"exames";"exames.html";"assets/js/exames.js";"";"";"rh_clinicas_sst | rh_exames";"";"";""
"faturamento";"faturamento.html";"assets/js/faturamento.js";"assets/js/pwa-register.js";"";"app_usuarios";"";"";""
"financeiro";"financeiro.html";"assets/js/financeiro.js";"assets/js/financeiro-access.js | assets/js/financeiro-adiantamentos-lote.js | assets/js/financeiro-refeicoes-unicas.js | assets/js/financeiro-refeicoes-arquivos.js | assets/js/financeiro-refeicoes-refresh.js | assets/js/financeiro-alojamentos-faturas.js | assets/js/financeiro-local-date.js";"";"colaborador_cruzamento | colaboradores | compras_itens | financeiro_adiantamentos_decisoes | financeiro_alimentacao_colaboradores | financeiro_contas_pagar | financeiro_contas_receber | financeiro_fluxo_caixa_diario | financeiro_notas_fiscais_resumo | financeiro_pagamentos | financeiro_pagamentos_execucoes | financeiro_pagamentos_linhas | financeiro_provisoes | financeiro_saldos_dia | grm_adiantamentos_importacoes | grm_notas_fiscais_importacoes | programacao_dia | programacao_equipe | rh_epi_registros";"";"notas-fiscais";"Botconversa | GRM Server"
"frotas-dashboard";"frotas-dashboard.html";"assets/js/frotas-dashboard.js";"";"";"frotas_veiculos";"";"";"Bfleet/RedGPS"
"frotas-historico";"frotas-historico.html";"assets/js/frotas-historico.js";"";"";"";"";"";""
"frotas-motoristas";"frotas-motoristas.html";"assets/js/frotas-motoristas.js";"";"";"";"";"";""
"frotas-multas";"frotas-multas.html";"assets/js/frotas-multas.js";"";"";"";"";"";""
"frotas-rastreadores";"frotas-rastreadores.html";"assets/js/frotas-rastreadores.js";"";"";"";"";"";"Bfleet/RedGPS"
"frotas-roteirizacao";"frotas-roteirizacao.html";"assets/js/frotas-roteirizacao.js";"";"";"";"";"";""
"frotas-veiculos";"frotas-veiculos.html";"assets/js/frotas-veiculos.js";"";"";"";"";"";""
"frotas";"frotas.html";"assets/js/frotas.js";"";"";"";"";"";""
"gestor-app";"gestor-app.html";"assets/js/gestor-app.js";"assets/js/gestor-app-mobile-ux.js";"assets/js/gestor-app-dashboard-live-fix.js | assets/js/gestor-app-supervisao-fix.js | assets/js/gestor-app-mobile-home-fix.js";"app_usuarios | compras_patrimonios_cadastro | dashboard_cache | metas_producao | operacional_colaborador_base | operacional_os | operacional_os_colaboradores | operacional_pontos_embarque | patrimonios_snapshot | producao_snapshot | programacao_colaboradores | programacao_dia | vw_patrimonios_atual";"";"";""
"historico-colaboradores";"historico-colaboradores.html";"assets/js/historicoColaboradores.js";"";"";"colaborador_importacoes";"";"";""
"historico-producao";"historico-producao.html";"assets/js/historicoProducao.js";"";"";"producao_importacoes";"";"";""
"holerite-pagamentos";"holerite-pagamentos.html";"assets/js/holeritePagamentos.js";"";"";"rh_folha";"";"";""
"hospedagem";"hospedagem.html";"assets/js/hospedagem.js";"";"";"hospedagem_eventos | hospedagem_minhas_solicitacoes | hospedagem_solicitacao_colaboradores | hospedagem_solicitacoes";"";"";""
"hotel-relatorio";"hotel-relatorio.html";"assets/js/hotel-relatorio.js";"";"";"";"";"";""
"importar-colaboradores";"importar-colaboradores.html";"assets/js/importarColaboradores.js";"";"";"colaborador_importacoes | historico_colaboradores";"";"";""
"importar-patrimonios";"importar-patrimonios.html";"assets/js/importarPatrimonios.js";"";"";"frotas_veiculos | patrimonios_importacoes";"limpar_patrimonios_snapshot | sincronizar_frotas_veiculos_patrimonios";"";""
"importar-producao";"importar-producao.html";"assets/js/importarProducao.js";"";"";"producao_importacoes";"";"";""
"importar-relatorios";"importar-relatorios.html";"assets/js/relatorio-importador.js";"";"";"";"";"";""
"index";"index.html";"assets/js/index.js";"";"";"";"";"";""
